,num_posts
2009-11-05,6036
2009-11-04,5661
2009-11-07,2958
2009-11-06,5772
2013-05-29,19239
2013-05-28,18273
2013-05-27,14651
2013-05-26,8231
2013-05-25,8284
2013-05-24,16511
2013-05-23,19075
2013-05-22,18840
2013-05-21,18356
2013-05-20,16256
2009-04-29,3793
2009-04-28,3835
2009-04-21,3955
2009-04-20,3455
2009-04-23,3639
2009-04-22,3764
2009-04-25,1762
2009-04-24,3155
2009-04-27,3254
2009-04-26,1573
2013-01-29,18036
2013-01-28,16915
2013-01-23,18515
2013-01-22,18081
2013-01-21,15866
2013-01-20,8889
2013-01-27,9213
2013-01-26,9155
2013-01-25,16543
2013-01-24,18531
2012-03-11,7629
2013-03-23,9886
2012-03-10,7455
2013-10-08,20499
2012-03-13,15043
2010-01-11,5572
2010-01-10,3228
2010-01-13,6606
2012-03-12,13976
2010-01-15,6041
2010-01-14,6170
2010-01-17,3163
2010-01-16,3305
2010-01-19,6916
2010-01-18,5874
2010-05-03,5501
2012-03-16,13683
2010-05-20,7203
2010-05-21,6475
2010-05-22,3267
2010-05-23,3167
2010-05-24,6140
2010-05-25,6926
2010-05-26,7092
2010-05-27,6949
2010-05-28,6246
2010-05-29,3269
2008-10-30,2631
2008-10-31,2328
2011-04-28,12401
2011-04-29,10361
2011-04-22,8744
2011-04-23,5717
2011-04-20,12020
2011-04-21,11431
2011-04-26,11551
2011-04-27,12353
2011-04-24,5494
2011-04-25,9066
2011-08-26,11226
2011-08-27,5562
2011-08-24,12925
2011-08-25,12865
2011-08-22,11214
2011-08-23,12084
2011-08-20,5933
2011-08-21,5631
2011-08-28,5767
2011-08-29,10677
2013-07-04,16667
2013-10-07,18425
2013-10-06,9707
2013-10-05,9646
2013-10-04,18414
2013-10-03,19273
2013-10-02,17789
2013-10-01,19063
2012-07-31,16507
2012-07-30,14774
2010-09-28,7901
2010-09-29,7688
2010-09-24,7334
2010-09-25,3643
2010-09-26,3746
2010-09-27,7186
2010-09-20,7221
2010-09-21,7746
2010-09-22,7849
2010-09-23,7557
2009-12-31,3679
2009-12-30,4733
2011-10-29,5564
2011-10-28,10577
2011-10-23,5793
2011-10-22,5939
2011-10-21,11218
2011-10-20,12040
2011-10-27,11701
2011-10-26,11343
2011-10-25,12146
2011-10-24,11290
2013-06-17,16837
2013-06-16,8172
2013-06-15,8501
2013-06-14,16716
2013-06-13,18649
2013-06-12,18349
2013-06-11,17897
2013-06-10,16267
2013-06-19,19106
2013-06-18,18858
2012-09-26,16348
2012-09-27,16572
2012-09-24,14494
2012-09-25,15427
2008-09-09,1615
2008-09-08,1454
2012-09-20,15303
2012-09-21,14300
2008-09-05,1369
2008-09-04,1393
2008-09-07,619
2008-09-06,618
2009-11-30,5199
2008-09-03,1355
2008-09-02,1560
2009-04-18,1648
